Orderbook Snapshot
=================

Asks
----
Price (Subticks) | Size (SOL) | Aggregate Size (SOL)
126.45          | 948.9000000 | 19292.5000000
126.44          | 2847.0000000 | 22139.5000000
126.43          | 2847.1000000 | 24986.6000000
126.42          | 949.6000000 | 25936.2000000
126.41          | 11865.5000000 | 37801.7000000
126.4           | 2709.3000000 | 40511.0000000
126.39          | 1899.4000000 | 42410.4000000
126.38          | 949.5000000 | 43359.9000000
126.37          | 4747.5000000 | 48107.4000000
126.36          | 4750.1000000 | 52857.5000000
126.35          | 3798.7000000 | 56656.2000000
126.34          | 949.7000000 | 57605.9000000
126.33          | 9498.0000000 | 67103.9000000
126.32          | 9504.8000000 | 76608.7000000
126.31          | 4751.2000000 | 81359.9000000
126.3           | 1900.0000000 | 83259.9000000
126.29          | 3800.4000000 | 87060.3000000
126.28          | 1900.3000000 | 88960.6000000
126.27          | 8551.9000000 | 97512.5000000
126.26          | 5701.8000000 | 103214.3000000
126.25          | 2851.2000000 | 106065.5000000
126.24          | 3801.9000000 | 109867.4000000
126.23          | 9505.7000000 | 119373.1000000
126.22          | 2851.8000000 | 122224.9000000
126.21          | 11646.7000000 | 133871.6000000
126.2           | 6655.5000000 | 140527.1000000
126.19          | 2852.6000000 | 143379.7000000
126.18          | 8560.3000000 | 151940.0000000
126.17          | 13314.4000000 | 165254.4000000
126.16          | 3804.4000000 | 169058.8000000
126.15          | 5707.1000000 | 174765.9000000
126.14          | 2855.9000000 | 177621.8000000
126.13          | 4769.5000000 | 182391.3000000
126.12          | 8570.7000000 | 190962.0000000
126.11          | 4757.5000000 | 195719.5000000
126.1           | 4759.3000000 | 200478.8000000
126.09          | 9518.4000000 | 209997.2000000
126.08          | 11420.4000000 | 221417.6000000
126.07          | 8566.1000000 | 229983.7000000
126.06          | 3808.7000000 | 233792.4000000
126.05          | 8567.4000000 | 242359.8000000
126.04          | 3808.0000000 | 246167.8000000
126.03          | 4760.1000000 | 250927.9000000
126.02          | 7617.0000000 | 258544.9000000
126.01          | 6670.2000000 | 265215.1000000
126             | 3809.2000000 | 269024.3000000
125.99          | 5003.6000000 | 274027.9000000
125.98          | 952.4000000 | 274980.3000000
125.97          | 2857.6000000 | 277837.9000000
125.96          | 1905.2000000 | 279743.1000000
125.95          | 6668.6000000 | 286411.7000000
125.94          | 1905.4000000 | 288317.1000000
125.93          | 3206.0000000 | 291523.1000000
125.92          | 5717.4000000 | 297240.5000000
125.91          | 5717.8000000 | 302958.3000000
125.9           | 3812.1000000 | 306770.4000000
125.89          | 7625.0000000 | 314395.4000000
125.88          | 5719.2000000 | 320114.6000000
125.87          | 5719.7000000 | 325834.3000000
125.86          | 8103.7000000 | 333938.0000000
125.85          | 2860.3000000 | 336798.3000000
125.84          | 2860.5000000 | 339658.8000000
